,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,reviewLink
447, 16 Mar 2018,empReview_19718551,Current Employee - Senior Business Analyst,I have been working at Accenture full-time (More than 3 years),Great place to work,Competitive salariesChallenging workWide array of option/projects,The leadership doesn't care sometimes,Give value to employee feedback,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19718551.htm
448, 16 Mar 2018,empReview_19722719,Current Employee - IT Service Transition Lead,I have been working at Accenture full-time (More than 8 years),Accenture is overall a good company to work with,"The policies of the company complements to employee satisfaction and offers an excellent work life balance. Average tenure of any employee in this organization is more than 5 yrs, which translates the zone of comfort Accenture offers to their employees.",Over a period of time when you compare from the resources hired externally you will observe a massive gap between salaries of external hires and internal at the same position. It is more than 100 % at times. One feels demotivated and underpaid for the amount of work done.,Management should do the market standardization to ensure that all are on the same page.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19722719.htm
449, 16 Mar 2018,empReview_19719649,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (Less than a year),review,salary and facility are good in accenture,HR policy is not good,NA,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19719649.htm
450, 16 Mar 2018,empReview_19722243,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 3 years),Good learing experience.,- Awesome Senior management.- Learning opportunities are good.- Nice work culture and values.- Huge base of clients- Good brand in the market- Better hikes than other service based companies.,- Relocation cannot be a mandate in some cases.- Not a lot of onsite opportunities.,Accenture should try to retain it's previous talent by giving good hikes and compensations instead of giving of huge hikes to the lateral hires.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19722243.htm
451, 16 Mar 2018,empReview_19732316,Former Employee - Applications Development Programmer Analyst,I worked at Accenture full-time (More than a year),Great company for Freshers,* Flexible employee friendly policies.* challenging work for better learning.* Great Teams,"* Recognition and Hike is not decided by your work, it is decided by whether your manager has good contact with you personally or not.","Don't let good resources go. There are resources who don't even work and get awesome hikes. On the other hand, there are resources who gives 500% effort and gets Peanuts only.",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19732316.htm
452, 17 Mar 2018,empReview_19732636,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Experience,"Good to Explore New Technologies,Number of training top up skill.","Work life balance,Notice Period,Nothing much than these",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19732636.htm
453, 15 Mar 2018,empReview_19706106,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 5 years),good place for Digital and Innovation,best place to work on most challenging business and tech problems,too many different things to juggle,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19706106.htm
454, 15 Mar 2018,empReview_19716001,Current Employee - Associate Software Engineer,I have been working at Accenture full-time (Less than a year),Work Culture,"Good working environment, always coming up with innovations.",Balancing work life can be stressful sometimes.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19716001.htm
455, 15 Mar 2018,empReview_19716147,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 5 years),Good Organisation and work Ethics,"Diversity and work culture, Ethics",Not a good performance review program,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19716147.htm
456, 15 Mar 2018,empReview_19716195,Current Employee - Applications Development Associate,I have been working at Accenture full-time (Less than a year),Good for someone looking for a bright career at IT,Good work culture and work environmentLess work pressureGood package for a fresherHigh brand value A good job,A mass recruiter and if you do not get projects soon you will be put on bench for a very long time,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19716195.htm
457, 15 Mar 2018,empReview_19716263,Current Employee - Consultant,I have been working at Accenture (Less than a year),Nice place to work,Nice place to work for senior level,Above manager is dangerous to work,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19716263.htm
458, 15 Mar 2018,empReview_19704734,Current Employee - Applications Developent Associate Manager,I have been working at Accenture full-time (More than 8 years),Associate Manager,Work Life BalanceGreat place to work specially for Female Employees,Few Opportunities in NCR,More focus on NCR,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19704734.htm
459, 29 Mar 2018,empReview_19924048,Former Employee - Senior Software Development Engineer,I worked at Accenture full-time (More than 5 years),Good company,1. Good work life balance2. Awesome infrastructure3. Relaxed work environments4. Transportation5. Good company to retire6. Good company to learn in some projects.7. Good on-site in some projects,Bad management. Some managers should really be removed from the company. They do a lot of micro management like maintaining excel for check in and check out time and then they use it for your performance and this will happen only a few months before appraisal. Du leads are also trying to be smart. They promise you onsite and promotions and then end of year they will say no budget.The worst thing to happen is new performance process. They say that now they don't compare you with other employees but they still do at each and every level.,Remove micro management and reward and focus on good performance.Management wants employee to learn all possible technologies available in the market but with petty salaries. Implement strict skill based performance as soon as possible.Create a team to overview just performance process city wise.Start anonymous reverse feedback from employee to manager as well.Take grievance seriously against management otherwise all the good employee will just leave the company.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19924048.htm
460, 29 Mar 2018,empReview_19924766,Former Employee - Software Engineer,I worked at Accenture full-time (More than 3 years),Life at Accenture,Name of the company in your resume.All the good things every MNC have.,Particularly for Gurgaon office - No professionalism is being followed.Lot of favourism,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19924766.htm
461, 14 Mar 2018,empReview_19681319,Current Employee - Applications Developer,I have been working at Accenture full-time (Less than a year),Application Development Analyst,Stable Work PressureGood Implementation and Support Projects,Management IssuesHigher level Management,Nothing,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19681319.htm
462, 14 Mar 2018,empReview_19684895,Current Employee - Test Lead,I have been working at Accenture full-time (More than 8 years),Test lead at accenture,Excellent work ethic and work culture.,Earlier there were less projects in Gurgaon but now that is also improved,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19684895.htm
463, 14 Mar 2018,empReview_19697695,Current Employee - IT Operations Senior Analyst,I have been working at Accenture full-time (Less than a year),Awesome Company to work with,Good Projectswill get opportunities to work on new technologiesGood pay compare to other companys,Work life balance is not goodvery less onsite opportunities,Create more opportunities in onsites,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19697695.htm
464, 14 Mar 2018,empReview_19683024,Former Employee - Software Developer,I worked at Accenture full-time (More than 3 years),Good company with nice policies,"have lots of opportunities to grow, all the technologies related projects available to learn",have to be lucky or should have good contacts to get good projects,"try not to focus much on saving money, instead increase the quality to get more money",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19683024.htm
465, 14 Mar 2018,empReview_19683979,Current Employee - Front End Developer,I have been working at Accenture full-time (More than 3 years),Good Company,"Good facilities,Cab is free,Salary hike is better when compared to other service based companies,Good projects",Few projects have a lot of internal politics.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19683979.htm
466, 14 Mar 2018,empReview_19686456,Former Employee - Application Developer Analyst,I worked at Accenture full-time (More than 3 years),Great Place to work but not competent enough,Great place to workEmployee friendly policiesGrowth is certain,Not enough room to growRepetitive work although it totally depends on the internal assignment,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19686456.htm
467, 14 Mar 2018,empReview_19690479,Current Employee - SAP Pp Functional Consultant,I have been working at Accenture full-time (More than 3 years),SAP PP Functional Consultant,Accenture is good company to work with.,Nothing much to say.Everything is fine except Accenture delays in giving offer letters.,NA,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19690479.htm
468, 14 Mar 2018,empReview_19690871,Former Employee - Software Engineering Analyst,I worked at Accenture full-time (More than 3 years),Great Place to Work,"Great Place to learn new technologies, big learning portalLot of Team Building Activities","Management favourtism, Less opportunity for those who have less interaction with Management higher people","Be fair to everyone, since everyone works hard and they should get equal opportunities",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19690871.htm
469, 14 Mar 2018,empReview_19692723,Former Employee - Human Resources Business Partner,I worked at Accenture full-time (More than a year),"Good opportunities for growth, always ahead of the curve","Great work environment, plenty of opportunities for growth and movement around the business","Salaries not so great, in pockets promotions are relationship based and not mertiocrous",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19692723.htm
470, 14 Mar 2018,empReview_19692894,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Software Engineer - Lot of learning,Great learning and Exposure. Work life balance is good,"Extremely process oriented, management could be better",management could be better,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19692894.htm
471, 28 Mar 2018,empReview_19918077,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Gud Company to work if you are under right managers,"Work culture, lucky if yu get good projects to work on.",Lots of office politics. Learn Bucketing Skills to flourish. Stop gender biasing people.,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19918077.htm
472, 13 Mar 2018,empReview_19660809,Former Employee - Associate S/W Engineer,I worked at Accenture full-time (More than a year),a,* Good projects to work.* Friendly environment.* Good work culture.* Ample of opportunities.,They have long working hours.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19660809.htm
473, 13 Mar 2018,empReview_19660560,Current Employee - Team Lead,I have been working at Accenture full-time (More than 8 years),Work Life balance is good,Work-life balance is very good.Few projects have work from home options.No mandatory hours recorded.,Won't get a proper hike if you stay for a long.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19660560.htm
474, 18 Apr 2018,empReview_20214691,Current Employee - Anonymous Employee,None,Pathetic Recruitment Process,Not worked with Accenture to share PROS. Please go through the below cons before you waste your time going for interviews for this company,Unprofessional Recruitment process. HR is more interested to generate the leads without really thinking about the reputation of the brand name like Accenture.,Please work on improving recruitment process in Mumbai India. They are just putting at stake company’s reputation by practising unprofessional and unacceptable behaviour.,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20214691.htm
475, 28 Mar 2018,empReview_19912154,Current Employee - Senior Software Development Engineer,I have been working at Accenture (More than 3 years),Average,You might get to work on good technologies.Might get onshore opportunities.,There is no surety of getting good technologies or opportunities.All depends on your luck.Too much politics.Management is biased most of the time.HR is not at all co operative,They can't do anything as it has become really big.,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19912154.htm
476, 13 Mar 2018,empReview_19666827,Current Employee - Applications Developer,I have been working at Accenture full-time (More than a year),Luck matters !,All depends on the project.,Sometimes life gets stuck. When project,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19666827.htm
477, 13 Mar 2018,empReview_19673290,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 5 years),Good company to work with,Better work cultureBetter ManagementPay increments are at par with market,Slowly cutting costs and employee benefits like domestic Indian companiesFresher salary is too lowNeed to find opportunities yourself,Don't make Accenture culture as that of Indian domestic companies,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19673290.htm
478, 27 Mar 2018,empReview_19890692,Current Employee - Programmer Analyst,I have been working at Accenture full-time (More than 5 years),Good company,Good company to work unless you have a good bond with your manager ....................................................................................................................................................................,Management is not good and they need to grow up and act matured .................................................................................................................,respect individuals,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19890692.htm
479, 27 Mar 2018,empReview_19901431,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (Less than a year),Very Good,Nice place to work.good hikes,But all ur growth depends on project u are n.,NA,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19901431.htm
480, 27 Mar 2018,empReview_19902291,Former Employee - Associate Manager,I worked at Accenture full-time (More than 5 years),Good place to work,Get the best of projects to work on with latest technologies and designs,Salary is too less for the amount of work expected from an employee,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19902291.htm
481, 10 Mar 2018,empReview_19623914,Former Employee - Associate Software Engineer,I worked at Accenture full-time (Less than a year),Not good for frehsers,"Good Management,Nice work environment,Good work and life balance","didn't learn much, didn't feel important",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19623914.htm
482, 12 Mar 2018,empReview_19652608,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than a year),Software Engineer,Good pay ! Good work environment.,Delay to get the initial project .,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19652608.htm
483, 12 Mar 2018,empReview_19653919,Former Employee - SME,I worked at Accenture full-time (More than 3 years),Sme,Life while working @ Accenture was a privilege!!!,Cab routing problems as we spend a lot of time travelling.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19653919.htm
484, 12 Mar 2018,empReview_19659077,Current Employee - IT Operations Associate,I have been working at Accenture full-time (More than 3 years),IT system Administrator,Company core values are good,there is nothing to share the downside of Accenture,#NA,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19659077.htm
485, 12 Mar 2018,empReview_19646373,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 5 years),Excellent place to work.,- Great exposure to new technologies- Best in class managers and coaching- Good opportunities,- Commensurate salary not provided for long time employees even with niche skills and great attitude,Please help and look after your long time employees. Do not take for granted,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19646373.htm
486, 12 Mar 2018,empReview_19654562,Former Employee - IT Analyst,I worked at Accenture full-time (More than 3 years),Awesome place to work,"work friendly, environment is good. I was lucky to get good co-workers along with me.",In management there are no exposures to technical stuffs,More exposure to technical stuffs,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19654562.htm
487, 12 Mar 2018,empReview_19659228,Former Employee - Associate Software Engineer,I worked at Accenture full-time (More than a year),Great Corporate Experience,Wonderful Managementgood work life balanceFlexible working hours,Less push for innovationLess pay and hike,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19659228.htm
488, 26 Mar 2018,empReview_19875740,Current Employee - Software Engineer,I have been working at Accenture full-time (Less than a year),Good,Nice atmosphere to work. Easy to work in pressure. Friendly job location.Nice atmosphere to work. Easy to work in pressure. Friendly job location.Nice atmosphere to work. Easy to work in pressure. Friendly job location.,Cheap salaryCheap maintenanceCheap attitude of managerCheap canteenCheap workBoring,Increase salary,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19875740.htm
489, 11 Mar 2018,empReview_19631480,Current Employee - Project Manager,I have been working at Accenture full-time (More than 8 years),Best IT services company to work for in India,"Good work life balance,","Not really if you like working for IT services firm, just that salary hikes are very low for last few years.",None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19631480.htm
490, 11 Mar 2018,empReview_19634308,Current Employee - Quality Audit Analyst,I have been working at Accenture full-time (Less than a year),nice work environment,Good work life balance and good company for women,salary hike is very less,no advice to management,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19634308.htm
491, 12 Mar 2018,empReview_19640824,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 3 years),Accenture Review,It was an awesome experience working with Accenture. Accenture was the place where I started my professional career and learnt a lot and I am really thankful for that.,Nothing comes to my mind at the moment,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19640824.htm
492, 16 Apr 2018,empReview_20171542,Current Employee - Senior Reporting Analyst,I have been working at Accenture full-time (More than 5 years),10 hours shift and 3 months Notice Period.No growth,Its Brand value- Using this they play with employees career,"10 hours shift- But you have to update only 9 hours in the time sheet3 months notice period - No other company will give this much time to join their organisationAbove two are mandatory for Accenture so they make sure Employee will not leave their organisationNo GrowthManagement does not care for career growth of employees, you have to take what is given",Remove 10 hours shift and 3 months notice and help your employees grow not only you,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20171542.htm
493, 12 Mar 2018,empReview_19640688,Current Employee - Senior Consultant,I have been working at Accenture full-time (Less than a year),Good company,"Good company to work with lot of process orientation, and professionalism",Long working hours mostly and complex work orientation,Increase work force,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19640688.htm
494, 10 Mar 2018,empReview_19620672,Current Employee - Senior Business Analyst,I have been working at Accenture full-time (More than 5 years),Good payer and ample opportunity for doers,Client Culture Core values infrastructure,Bad Manager Bad Appraisals Bad Office Time,Stop old school of management,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19620672.htm
495, 10 Mar 2018,empReview_19628326,Current Employee - Transaction Coordinator,I have been working at Accenture full-time (Less than a year),transaction processing associate,"nice place to work, learn and earn with great opportunities.",Don't found any cons while working with accenture,good management,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19628326.htm
496, 6 Mar 2018,empReview_19550457,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Awesome Place to Work,Good environment to WorkOppurtunities to groom and learn new technologyHike is much better than other Service based companies,10 hrs working shift(mandatory) and many times they expect more than that,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19550457.htm
497, 10 Mar 2018,empReview_19620720,Current Employee - Anonymous Employee,I have been working at Accenture full-time,murex datamart developer,"work for money,bench life more","bench life more ,hiraricy management hectic",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19620720.htm
498, 24 Mar 2018,empReview_19849160,Current Employee - Applications Development Programmer Analyst,I have been working at Accenture full-time (Less than a year),Application Developer,"Best for cross train,You can definitely learn new skills,they will push u for trainings.",Totally manager based company.A manager can make your life better or make it a living hell,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19849160.htm
499, 24 Mar 2018,empReview_19850151,Current Employee - Associate Software Engineer,I have been working at Accenture full-time (Less than a year),Good perks but no learning,PerksPackage to experiencedInfrastructureSome projects are extremely good,Working environmentOffice politicsNo learning in some projectsTraining and projects alotment is random,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19850151.htm
500, 9 Mar 2018,empReview_19607087,Current Employee - ASE,I have been working at Accenture full-time (Less than a year),A great place to work,A great place to work !,None that I can think about,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19607087.htm
501, 9 Mar 2018,empReview_19609766,Current Employee - Senor Software Engineer,I have been working at Accenture full-time,Accenture,Work EnvironmentFacilities for employees are good,Transparency between different levels should maintained,Transparency should be there,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19609766.htm
502, 24 Mar 2018,empReview_19853961,Current Employee - Telecommunications Engineer,I have been working at Accenture full-time (Less than a year),Telecom,Good to start as fresher,Nothing as such Friendly enviornment,Nothing,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19853961.htm
503, 5 Mar 2018,empReview_19538208,Former Employee - Team Leader,I worked at Accenture full-time (More than 5 years),Its a good place to work,Company defined policies are very good and implemented at work,Vendor location need to be follow the core company values,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19538208.htm
504, 9 Mar 2018,empReview_19606295,Current Employee - Software Developer,I have been working at Accenture full-time (Less than a year),Awesome place to work,"Awesome place to work, good place to learn / explore",No Cons I found at Accenture,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19606295.htm
505, 9 Mar 2018,empReview_19606362,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 5 years),Senior Software Test Automation Analyst,"good company, good work and life balance",no cons according to me,"good management , good work life balance",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19606362.htm
506, 9 Mar 2018,empReview_19611369,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),One of the Best Service Based Company,Good work cultureAmple of opportunitiesGood training stuffScope of learning,Service based company don't give much hike,Keep up the good work.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19611369.htm
507, 10 Mar 2018,empReview_19620173,Current Employee - Associate Manager,I have been working at Accenture full-time (More than 10 years),awesome work environment,awesome work environment on all levels,not a paymaster for laterals,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19620173.htm
508, 10 Mar 2018,empReview_19620239,Current Employee - Software Engineer,I have been working at Accenture full-time (More than a year),Software engineer,The work culture of the company is good. Good to learn new technologies. Eager to accept new generation technology.,The increment has not been impressive since some years.The fun activities are very less. Last year we didn't got any goodie from the company.,Look at the fun activities for the employees. At least try to give goodies once a year.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19620239.htm
509, 10 Mar 2018,empReview_19620486,Former Employee - Software Engineer,I worked at Accenture full-time (Less than a year),Good place to work,Plenty of projects.Project specific training.,HR policies are not clear.Even smallest thing in here is process oriented.HR policies are not clear.HRs are not easily reachable.Fire people if not required in project.,Don't take instant decision of firing good people.Make HR policies clear.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19620486.htm
510, 23 Mar 2018,empReview_19831097,Former Employee - Project Manager,I worked at Accenture full-time (More than 5 years),Nature of organization,Great company and gives as opportunity to everyone to work,Has become too big now and no one seems to have the time for employee grooming.,none,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19831097.htm
511, 23 Mar 2018,empReview_19832150,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than a year),Average,Good Carrier path for Women employees to work especially married womens,"Low Compensation plan for entry level employees, promotion issues","entry level resources have workloads, sometimes stress happens",3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19832150.htm
512, 23 Mar 2018,empReview_19834750,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),Accenture has good learning initiatives,Company is focusing a lot on New it and are encouraging employees to learn new technologies.,Pay structure is very non-transparent and below par.,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19834750.htm
513, 23 Mar 2018,empReview_19844516,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Decent company which is on way down,"decent people, decent growth and awareness about technology","bad performance appraisal system, inefficient HR, run of the mill working",Please remove the new performance appraisal system,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19844516.htm
514, 8 Mar 2018,empReview_19587372,Current Employee - Team Lead,I have been working at Accenture full-time (More than 8 years),company,good work culture and enviornment,mid range salary and perks,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19587372.htm
515, 8 Mar 2018,empReview_19589289,Former Employee - Testing Engineering Analyst,I worked at Accenture full-time (More than 3 years),Nice Place to Work,Work-life balance.Great place to learn new technologies.,No cons as of now,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19589289.htm
516, 8 Mar 2018,empReview_19590214,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 3 years),Senior Software Test Engineer,--> Best for Women employees--> Friendly work environment--> good hike percentage if you actually deserve,I do not find any cons,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19590214.htm
517, 8 Mar 2018,empReview_19593315,Former Employee - Software Analyst,I worked at Accenture full-time (Less than a year),Accenture,Perfect place for a starter to start with.,Salary is not good as amount of work,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19593315.htm
518, 9 Mar 2018,empReview_19605054,Former Employee - Software Engineering Senior Analyst,I worked at Accenture full-time (More than a year),Best place to work,"work life and personal life balance, productive atomosphere","10 hours login, hierarchical low visibility",None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19605054.htm
519, 8 Mar 2018,empReview_19589769,Current Employee - Principal With Accenture Strategy,I have been working at Accenture full-time (More than 10 years),Senior Manager / Principal with Accenture Strategy,"Diversity of work, Compensation, Travel if you love it","Work life balance, Extensive travel in consulting",No particular advice. Great folks and management,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19589769.htm
520, 8 Mar 2018,empReview_19600278,Former Employee - Associate Software Engineer,I worked at Accenture full-time (More than a year),Associate Software Engineeri,Great place to start your career!,Growth rate is moderate for employees!,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19600278.htm
521, 8 Mar 2018,empReview_19604019,Current Employee - Applications Development Programmer Analyst,I have been working at Accenture full-time (More than a year),Accenture review,As a developer I get to work on many new technologies and the learning program is one of the best that can be offered to an employee.,Hike is a little less than compared to other companies.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19604019.htm
