,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,reviewLink
25, 10 May 2018,empReview_20522020,Current Employee - Manager,I have been working at Accenture full-time (More than a year),Dynamic Company,Dynamic Management. They would always encourage you do everything in better way than it is being done currently. All leadership team members are role models.,"Sometimes work schedule are hectic, but at the end of the day one will get satisfied with quality of work.",N/A,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20522020.htm
26, 10 May 2018,empReview_20535268,Former Employee - Software Engineer,I worked at Accenture full-time (More than 3 years),Accenture is a great place to work to,all processes are defined and if you get a good project this firm is really good to work for.,if you join Accenture as a fresher then your salary growth will be average. Its a very good company for lateral hires.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20535268.htm
27, 9 May 2018,empReview_20502294,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Application Developer Analyst,Cool Environment.I'm working from 3 years finding no issues,I have no cons for accenture,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20502294.htm
28, 9 May 2018,empReview_20516923,Current Employee - Business Analyst,I have been working at Accenture full-time (More than 5 years),GPTW,"Flexible working hours, no time punching, great culture",I dont have a con as of now,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20516923.htm
29, 9 May 2018,empReview_20503398,Former Employee - Consultant,I worked at Accenture full-time (More than 3 years),Work culture,"Flexible time , great work environment","Little politics, more of support projects!!!",NA,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20503398.htm
30, 9 May 2018,empReview_20504256,Former Employee - Software Development Engineer In Test,I worked at Accenture full-time (More than 3 years),"good company,you will get to know how to deal with people","competitive environmen ,talented people","BIT LOW ON TECHNICAL THINGS,MANY DUMB GUYS AROUND",NOTHING,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20504256.htm
31, 9 May 2018,empReview_20517097,Current Employee - Senior Software QA Analyst,I have been working at Accenture full-time (More than 5 years),Work-Life Balance,No Strict rules of 9.5 hours in the Bay.Your Comfort zone depends on the Project and Manager.Work Life Balance can be Managed well.Lots of Benefits.,"If you are in a Bad Project, your life is gone.Appraisal needs to be employee friendly.Hikes are reduced compared to previous years.H1B's are reduced a lot.",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20517097.htm
32, 10 May 2018,empReview_20519226,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Good Service based company,One of the best service based company in the market that gives significant hikes to its employers.,Too much intake of work force and placed them in bench.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20519226.htm
33, 8 May 2018,empReview_20482575,Former Employee - Manager,I worked at Accenture full-time (More than 10 years),Manager,"fantastic, reliable and good team",slow growth otherwise good one,Improve ability to see through productive workers,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20482575.htm
34, 8 May 2018,empReview_20487530,Current Employee - Applications Analyst,I have been working at Accenture full-time (More than 3 years),Excellent Organization to work with,I have been working since last 3 years and it has:- Good work Culture.- Excellent learning and growing opportunitiesNo restrictions on logging hours,Nothing to say as there is nothing i experienced wrong.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20487530.htm
35, 8 May 2018,empReview_20488717,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 5 years),Accenture Great Company,Best company to start your career,Some managers who are with the organization with 10+ years. Accenture should evaluate there old employees.,Please provide management role to young indians too.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20488717.htm
36, 8 May 2018,empReview_20481739,Current Employee - Anonymous Employee,I have been working at Accenture full-time,Mainframe developer,New challenging environment and good learning organization,evrything is good here and eco-friendly world,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20481739.htm
37, 8 May 2018,empReview_20483541,Former Employee - Strategy Analyst,I worked at Accenture full-time (More than a year),Strategy Analyst,- Diverse portfolio of projects- Good learning material on internal portals- Several client facing and travel opportunities,- Bureaucracy- Difficult to get into projects for new employees- Middle management politics,"- Tap into new markets- Employee satisfaction is declining, ensure each employee's career goals are kept in mind instead of pushing them into unexciting projects all the time",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20483541.htm
38, 8 May 2018,empReview_20495276,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than a year),Amazing place to work,"Typical IT Company, not too much of a pressure.Team outings.Cafeteria.Recreation room.",Not very challenging work environment.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20495276.htm
39, 8 May 2018,empReview_20497493,Current Employee - Manager,I have been working at Accenture full-time (More than 3 years),Goood Company to work with,Goood Company to work with,Nothing as of such as cons,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20497493.htm
40, 7 May 2018,empReview_20476061,Former Employee - Associate Manager,I worked at Accenture full-time (More than 10 years),SAP Finance consultant,A great place to work,Travelling is pain in Bangalore,Keep the good work going,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20476061.htm
41, 7 May 2018,empReview_20476541,Former Employee - SAP BI Consultant,I worked at Accenture full-time (More than 3 years),Company Review,Best company to work in,Can't think of any at the moment,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20476541.htm
42, 7 May 2018,empReview_20469337,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),Team Lead,1. Nice Opportunities2. Having the highest number of SAP projects,1. Year end hike and bonus depends on your manager,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20469337.htm
