,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
41, 7 May 2018,empReview_20476541,Former Employee - SAP BI Consultant,I worked at Accenture full-time (More than 3 years),Company Review,Best company to work in,Can't think of any at the moment,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20476541.htm
42, 7 May 2018,empReview_20469337,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),Team Lead,1. Nice Opportunities2. Having the highest number of SAP projects,1. Year end hike and bonus depends on your manager,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20469337.htm
43, 7 May 2018,empReview_20479146,Current Employee - Applications Developer,I have been working at Accenture full-time (More than 3 years),Good place to work if we are beginning your career,"As we know Accenture is a huge organization with more than 1L employees, we have huge varieties of technology to work it is easy to switch between technology in early stages of career here.",As if you are out of the project and have no project in pipe line it is tough times as no location priority will be given,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20479146.htm
44, 6 May 2018,empReview_20453785,Former Employee - Manager,I worked at Accenture full-time (More than 8 years),High Performance Delivered,Great place to work ....... for beginners,Respect to individuals- is missing,Value your senior experienced employees ... groom them ...utilise them,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20453785.htm
45, 6 May 2018,empReview_20456259,Current Employee - Research Associate,I have been working at Accenture full-time (More than a year),Best work place,Environments senior support good facility,I can not say anything,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20456259.htm
46, 6 May 2018,empReview_20456927,Current Employee - Senior Java/J2EE Developer,I have been working at Accenture full-time (More than 5 years),Good,Good company and environment to work,Lot of trainings need to follow parallely,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20456927.htm
47, 6 May 2018,empReview_20461797,Former Employee - Team Lead,I worked at Accenture full-time (More than 5 years),Program Management Lead,one the best which i was associated with. I was here for more than 7 years.,Nothing specific. Good company to work with.,Monitory benefits if can improved.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20461797.htm
48, 5 May 2018,empReview_20452687,Current Employee - Applications Development Programmer Analyst,I have been working at Accenture full-time (More than a year),Great company only if you get great project,- Enhances learning and professional development- Supportive colleague- All sorts of resource to study and grow- Good work-life culture,- No work life balance,- Please take care of the appraisals and reward the employee based on the performance regardless of his no of years in the establishment,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20452687.htm
49, 4 May 2018,empReview_20442258,Current Employee - Applications Developer,I have been working at Accenture full-time,Good place,Awesome place to work with.,Nothing as of now.good place to work in.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20442258.htm
50, 4 May 2018,empReview_20444944,Current Employee - Software Engineer,I have been working at Accenture full-time (More than a year),SOFTWAE ENGINEER,It is an very good company who is starting their IT career. You can get a lot of exposure in this company.,There is no cons from my perspective,NIL,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20444944.htm
